Model,Type,Features,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,Combined,11,0.5325,0.49586776859504134,0.3225806451612903,0.39087947882736157,0.549894482966536
Logistic Regression,Separate,12,0.5375,0.5039370078740157,0.34408602150537637,0.40894568690095845,0.5504471912370617
Random Forest,Combined,11,0.52,0.47692307692307695,0.3333333333333333,0.3924050632911392,0.517548487589187
Random Forest,Separate,12,0.535,0.5,0.3172043010752688,0.3881578947368421,0.5387900713496131
Gradient Boosting,Combined,11,0.5075,0.45454545454545453,0.2956989247311828,0.3583061889250814,0.5088935785348208
Gradient Boosting,Separate,12,0.525,0.4818181818181818,0.2849462365591398,0.3581081081081081,0.5197467591196865
